"Le Livre qui parle du prêtre, de l'église et de la messe",,
Mystère de la Résurrection,,
Le Paradis de la reine Sibylle,,
Le Paradis terrestre et l'Excursion aux îles Lipari,,
Belle Dame sans Merci,,
Confession de la belle fille,,
Débat de l'homme marié et de l'homme non marié,,
Débat de la noire et de la tannée,,
Débat de réveille matin,,
Lettre du prêtre Jean,,
Moralité du bien public,,
Physiognomonie,,
Ventes d'amour,,
Secret des secrets,,
Vie de sainte Catherine de Sienne,,
Pilgrimage of the Soul,,
Missel,,
Bestiaire,,
Dits moraux des philosophes,Guillaume de Tignonville,
Métamorphoses,Philippe de Vitry,
Histoire de Thèbes et de Troie,,
Faits des Romains,,
Grandes chroniques de France,,
Livre de Godeffroy de Bouillon,,
Histoire de Lusignan,,
Livre de l'information des princes,Jean Golein,
Le Dit de la Panthère,,
Le Livre de la Violette,,
Le Roman de la Rose,,
Le Testament de Jean de Meun,,
Plusieurs balades et dictiés,,
A Saint's Life,,
Renard de Montaubon en Prose,,
Dit de la Pastoure,,
De morali principis institutione,,
Les Dits Moraux des Philosophes,,
The Pilgrimage of the Life of Man,,
Vie de Saint Etienne,,
Légende dorée,Jean de Vignay,
Cité de Dieu,Raoul de Presles,
Des cas des nobles hommes et femmes,Laurent de Premierfait,
Livre du Trésor,,
Le Livre des Proprietez des Choses,Jean Corbechon,
Nouveau Testament,,
Pèlerinage de Vie humaine,,
Mortifiement de vaine plaisance,,
Le Montagne de contemplation,,
Pontus et Sidoine,,
Melusine ou La noble histoire de Lusignan,,
Confession,,
Livre de la Cité des Dames,,
Le Livre des trois vertus,,
Danse aux aveugles,,
Instruction d'un jeune prince,,
Le Livre des herbes et arbres,,
Le Livre du gouvernement des rois,Henri de Gauchi,
Roman de Cleriadus et Meliadice,,
Livre de Consolation,,
Pierre de Provence et la belle Maguelonne,,
Paris et Vienne,,
Sermons,,
Ung livre des eshecs,,
Devisement du monde,Grigoires,
Psautier,,
Le Livre pour l'enseignement des filles,,
La Vie Nostre Dame,,
Vies des saints,,
Ung livre de certains laiz et coustumes pour passer le temps,,
Ung traictié de l'ame devote,,
Pourquoi Dieu fist l'omme a sa figure,,
Livre de la vroye ystoire de Troye,,
Le Livre de Pierre Chastellain,,
Bible,,
Le livre de l'exposition des Euvangilles,,
L'Abuzé en court,,
Livre du Pellerinaige en prose,,
Les trois fils de rois,,
Le Livre de Confession,,
Le Livre de Sapience qui enseigne a bien mourir,,
Les Miracles de Nostre Dame,,
De la resurrection des mors,,
Ung livre de la mort du duc de Bourgoigne,,
Ung livre...nommé de pluseurs renvoys,,
Somme le roi,,
Les Espitres et Euvengilles,,
Des biens qui viennent d'orisons,,
Ung autre livre...que Monsgr de Maillé luy donna,,
Ung petit livre de dames et d'amours,,
Triboulet,,
Jardin des nobles,,
Passion Jhesucrist,,
De saince Clere,,
Ung petit livre ... commencant Humane beate Marye virginis,,
"Ung petit livre...ystorié et commance, Tres noble",,
"Ung autre petit livre commencant, S'ensuit une petite et briefve contemplacion",,
Livre d'heures,,
Chapelet Notre-Dame,,
Epistre Othea,,
Book of Prayers,,
A French Book,,
Troilus and Criseyde,,
Ung livre,,
Pèlerinage de l'Ame,,
Alexander and Dindimus,,
Li Livres du Graunt Caam,,
Roman d'Alexandre en vers,,
Vita Sancti Gilberti Confessoris,,
Lak of Stedfastnesse,,
Life of Our Lady,,
Truth (Ballade of Good Counsel),,
Virtues of the Mass,,
"Hymnus alter sive oratio - ""O magistra et ministra""",,
"Oratio ad Virginem - ""Salve sancta mater Dei""",,
"Oratio tercia - ""Ave amantissima, virgo Maria""",,
"Preces ad Virginem - ""Qui preberet iter lucis celi quasi preco""",,
Book of Hours,,
Heures d'Anne de France,,
Pèlerinage de vie humaine en prose,,
Le Temple de Boccace,,
Nova Statuta Angliae,,
Histoire de la fondation de Nostre Dame du Puy,,
Oroison a Nostre Dame 6,,
Hours of Mary Stuart,,
Heures de Jeanne de France,,
Portable Breviary,,
Beaufort Book of Hours,,
La Bible Historiale,,
