about,authors,dateowned,gender,owner,shelfmark,texts
Lancelot du Lac; La Quête du saint Graal; La Mort d'Artus,"Gautier Map,Gautier Map,Anonymous",1405-1407,Male,Jacques Rapondi,Arsenal fr. 3480,"La Mort d'Artus,La Quête du saint Graal,Lancelot du Lac (aka Lancelot en prose)"
Lancelot du Lac; La Quête du saint Graal; La Mort d'Artus,"Gautier Map,Gautier Map,Anonymous",1407-1419?,Male,John the Fearless,Arsenal fr. 3480,"La Mort d'Artus,La Quête du saint Graal,Lancelot du Lac (aka Lancelot en prose)"
Lancelot du Lac; La Quête du saint Graal; La Mort d'Artus,"Gautier Map,Gautier Map,Anonymous",1419?-1424,Female,"Margaret of Bavaria, duchess of Burgundy",Arsenal fr. 3480,"La Mort d'Artus,La Quête du saint Graal,Lancelot du Lac (aka Lancelot en prose)"
Livre des proprietez des choses,Bartholomeus Anglicus,?-1419,Male,John the Fearless,KBR MS 9094,Le Livre des Proprietez des Choses
Livre des proprietez des choses,Bartholomeus Anglicus,1420-1424,Female,"Margaret of Bavaria, duchess of Burgundy",KBR MS 9094,Le Livre des Proprietez des Choses
Livre des proprietez des choses,Bartholomeus Anglicus,1401-1404?,Male,Philip the Bold,KBR MS 9094,Le Livre des Proprietez des Choses
Missel,,post-1431-1471?,Female,"Isabella of Portugal, duchess of Burgundy",KBR MS 9125,Missel
Missel,,?-1419,Female,"Margaret of Bavaria, duchess of Burgundy",KBR MS 9125,Missel
Bible historiale,Pierre le Mangeur,?-1415,Male,Jean Chousat,KBR MS 9024-25,Bible historiale
Bible historiale,Pierre le Mangeur,1415-1424,Female,"Margaret of Bavaria, duchess of Burgundy",KBR MS 9024-25,Bible historiale
Des Cas des nobles hommes et femmes,Giovanni Boccaccio,1431?-14??,Female,"Isabella of Portugal, duchess of Burgundy",Arsenal fr. 5193,Des cas des nobles hommes et femmes
Des Cas des nobles hommes et femmes,Giovanni Boccaccio,1409-?,Male,John Duke of Berry,Arsenal fr. 5193,Des cas des nobles hommes et femmes
Des Cas des nobles hommes et femmes,Giovanni Boccaccio,?-1419,Male,John the Fearless,Arsenal fr. 5193,Des cas des nobles hommes et femmes
Des Cas des nobles hommes et femmes,Giovanni Boccaccio,1420-1424,Female,"Margaret of Bavaria, duchess of Burgundy",Arsenal fr. 5193,Des cas des nobles hommes et femmes
Des Cas des nobles hommes et femmes,Giovanni Boccaccio,1424-1431?,Male,Philip the Good,Arsenal fr. 5193,Des cas des nobles hommes et femmes
Compendium of Christine de Pizan texts,"Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Guillaume de Tignonville,Gontier Col,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan",1472 - 1483,Male,Anthony Woodville,BL Harley MS 4431,"Autres Balades (Plusieurs Balades de Divers Propos) (de Christine de Pizan),Balades de Plusieurs Façons,Cent Balades d'Amant et de Dame,Encore autres balades,Enseignemens que Christine donne à son Filz (Les Enseignemens Moraux),Lay de Vers L'onimes,Livre du Dit de Poissy,Prologue adreçant à la royne,Quinze Joyes Nostre Dame Rimées (aka XV Joyes Nostre Dame),Un Autre Lay,Complainte amoureuse: Doulce dame, veuillez oir la plainte,Complainte amoureuse: Veuillez oyr en pitié ma complainte,Une Oroison de la Vie et Passion de Nostre Seigneur,Une Oroison Nostre Dame: O Vierge pure,Epistre à Eustace Morel,Livre de Prudence,Proverbes Moraulx (Christine de Pizan),Cent balades (de Christine de Pizan),Epistre au Dieu d'Amour,Epistres sur le Roman de la Rose,Jeux à Vendre,Livre des Trois Jugemens,Livre du Debat des deux amans,Rondeaux (de Christine de Pizan),Virelais,Livre du Chemin de Long Estude,Livre du Duc des Vrays Amans,Dit de la Pastoure,Livre de la Cité des Dames,Epistre Othea"
Compendium of Christine de Pizan texts,"Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Guillaume de Tignonville,Gontier Col,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan",1414-1425,Female,"Isabel of Bavaria, queen of France",BL Harley MS 4431,"Autres Balades (Plusieurs Balades de Divers Propos) (de Christine de Pizan),Balades de Plusieurs Façons,Cent Balades d'Amant et de Dame,Encore autres balades,Enseignemens que Christine donne à son Filz (Les Enseignemens Moraux),Lay de Vers L'onimes,Livre du Dit de Poissy,Prologue adreçant à la royne,Quinze Joyes Nostre Dame Rimées (aka XV Joyes Nostre Dame),Un Autre Lay,Complainte amoureuse: Doulce dame, veuillez oir la plainte,Complainte amoureuse: Veuillez oyr en pitié ma complainte,Une Oroison de la Vie et Passion de Nostre Seigneur,Une Oroison Nostre Dame: O Vierge pure,Epistre à Eustace Morel,Livre de Prudence,Proverbes Moraulx (Christine de Pizan),Cent balades (de Christine de Pizan),Epistre au Dieu d'Amour,Epistres sur le Roman de la Rose,Jeux à Vendre,Livre des Trois Jugemens,Livre du Debat des deux amans,Rondeaux (de Christine de Pizan),Virelais,Livre du Chemin de Long Estude,Livre du Duc des Vrays Amans,Dit de la Pastoure,Livre de la Cité des Dames,Epistre Othea"
Compendium of Christine de Pizan texts,"Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Guillaume de Tignonville,Gontier Col,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan",1433/1435-1472,Female,"Jacquetta of Luxembourg, duchess of Bedford",BL Harley MS 4431,"Autres Balades (Plusieurs Balades de Divers Propos) (de Christine de Pizan),Balades de Plusieurs Façons,Cent Balades d'Amant et de Dame,Encore autres balades,Enseignemens que Christine donne à son Filz (Les Enseignemens Moraux),Lay de Vers L'onimes,Livre du Dit de Poissy,Prologue adreçant à la royne,Quinze Joyes Nostre Dame Rimées (aka XV Joyes Nostre Dame),Un Autre Lay,Complainte amoureuse: Doulce dame, veuillez oir la plainte,Complainte amoureuse: Veuillez oyr en pitié ma complainte,Une Oroison de la Vie et Passion de Nostre Seigneur,Une Oroison Nostre Dame: O Vierge pure,Epistre à Eustace Morel,Livre de Prudence,Proverbes Moraulx (Christine de Pizan),Cent balades (de Christine de Pizan),Epistre au Dieu d'Amour,Epistres sur le Roman de la Rose,Jeux à Vendre,Livre des Trois Jugemens,Livre du Debat des deux amans,Rondeaux (de Christine de Pizan),Virelais,Livre du Chemin de Long Estude,Livre du Duc des Vrays Amans,Dit de la Pastoure,Livre de la Cité des Dames,Epistre Othea"
Compendium of Christine de Pizan texts,"Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Guillaume de Tignonville,Gontier Col,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan,Christine de Pizan",1425-1433,Male,John Duke of Bedford,BL Harley MS 4431,"Autres Balades (Plusieurs Balades de Divers Propos) (de Christine de Pizan),Balades de Plusieurs Façons,Cent Balades d'Amant et de Dame,Encore autres balades,Enseignemens que Christine donne à son Filz (Les Enseignemens Moraux),Lay de Vers L'onimes,Livre du Dit de Poissy,Prologue adreçant à la royne,Quinze Joyes Nostre Dame Rimées (aka XV Joyes Nostre Dame),Un Autre Lay,Complainte amoureuse: Doulce dame, veuillez oir la plainte,Complainte amoureuse: Veuillez oyr en pitié ma complainte,Une Oroison de la Vie et Passion de Nostre Seigneur,Une Oroison Nostre Dame: O Vierge pure,Epistre à Eustace Morel,Livre de Prudence,Proverbes Moraulx (Christine de Pizan),Cent balades (de Christine de Pizan),Epistre au Dieu d'Amour,Epistres sur le Roman de la Rose,Jeux à Vendre,Livre des Trois Jugemens,Livre du Debat des deux amans,Rondeaux (de Christine de Pizan),Virelais,Livre du Chemin de Long Estude,Livre du Duc des Vrays Amans,Dit de la Pastoure,Livre de la Cité des Dames,Epistre Othea"
The Bedford Hours,Anonymous,1423-24 December 1430,Female,"Anne of Burgundy, duchess of Bedford",BL Add. MS 18850,Livre d'heures
The Bedford Hours,Anonymous,24 December 1430-?,Male,Henry VI of England,BL Add. MS 18850,Livre d'heures
The Bedford Hours,Anonymous,1423-1430,Male,John Duke of Bedford,BL Add. MS 18850,Livre d'heures
The Bedford Hours,Anonymous,?-1415?,Male,Louis Duke of Guyenne,BL Add. MS 18850,Livre d'heures
Livre des amphorismes Ypocras,Hippocrates,1 February 1430 - 1432?,Female,"Anne of Burgundy, duchess of Bedford",BnF fr. 24246,"Le Livre des amphorismes Ypocras, en medecine, avecques les commens de Galien"
Livre des amphorismes Ypocras,Hippocrates,1 February 1430 -1435?,Male,John Duke of Bedford,BnF fr. 24246,"Le Livre des amphorismes Ypocras, en medecine, avecques les commens de Galien"
Breviaire de Salisbury,,1430?-1432?,Female,"Anne of Burgundy, duchess of Bedford",BnF lat. 17294,Breviaire
Breviaire de Salisbury,,1433/1435-1472?,Female,"Jacquetta of Luxembourg, duchess of Bedford",BnF lat. 17294,Breviaire
Breviaire de Salisbury,,1430?-1435?,Male,John Duke of Bedford,BnF lat. 17294,Breviaire
Bible historial v. 2: Proverbes à l'Apocalypse,,1363-1380,Male,Charles V of France,BnF fr. 5707,Bible historiale complétée
Bible historial v. 2: Proverbes à l'Apocalypse,,1407-1 June 1416,Male,John Duke of Berry,BnF fr. 5707,Bible historiale complétée
Bible historial v. 2: Proverbes à l'Apocalypse,,1 June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",BnF fr. 5707,Bible historiale complétée
Bible historiale,,1434-1456,Male,Charles I of Bourbon,BnF fr. 159,Bible historiale complétée
Bible historiale,,1402-June 1416,Male,John Duke of Berry,BnF fr. 159,Bible historiale complétée
Bible historiale,,1456-1472?,Male,John II of Bourbon,BnF fr. 159,Bible historiale complétée
Bible historiale,,1472?-1483,Female,"Margaret of Bourbon, (posthumous) duchess of Savoy",BnF fr. 159,Bible historiale complétée
Bible historiale,,June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",BnF fr. 159,Bible historiale complétée
Bible historiale,,1483?-1504?,Male,Philibert II of Savoy,BnF fr. 159,Bible historiale complétée
Bible historiale,,1395-1401?,Female,Raoulet d'Anquetonville,BnF fr. 159,Bible historiale complétée
Six texts on the Orient by Jean le Long d'Ypres; Mélusine,"Niccolo Falconi,Hayton,Jean d'Arras,Riccoldo da Monte Croce,Odoric de Prodenone,Wilhelm von Boldensele,,",c.1400-1422,Male,Charles VI of France,BL Cotton MS Otho D II,"La Fleur des Histoires de la terre d'Orient,Melusine ou La noble histoire de Lusignan,L'ytineraire de la peregrinacion frere Riculd,Merveilles de la terre d'outre mer,Livre des parties d'Outremer,Lettres du grand khan au pape Benoit XII,Livre de l'Etat du grand Khan"
Six texts on the Orient by Jean le Long d'Ypres; Mélusine,"Niccolo Falconi,Hayton,Jean d'Arras,Riccoldo da Monte Croce,Odoric de Prodenone,Wilhelm von Boldensele,,",1433/1435-1472,Female,"Jacquetta of Luxembourg, duchess of Bedford",BL Cotton MS Otho D II,"La Fleur des Histoires de la terre d'Orient,Melusine ou La noble histoire de Lusignan,L'ytineraire de la peregrinacion frere Riculd,Merveilles de la terre d'outre mer,Livre des parties d'Outremer,Lettres du grand khan au pape Benoit XII,Livre de l'Etat du grand Khan"
Six texts on the Orient by Jean le Long d'Ypres; Mélusine,"Niccolo Falconi,Hayton,Jean d'Arras,Riccoldo da Monte Croce,Odoric de Prodenone,Wilhelm von Boldensele,,",1425-1433,Male,John Duke of Bedford,BL Cotton MS Otho D II,"La Fleur des Histoires de la terre d'Orient,Melusine ou La noble histoire de Lusignan,L'ytineraire de la peregrinacion frere Riculd,Merveilles de la terre d'outre mer,Livre des parties d'Outremer,Lettres du grand khan au pape Benoit XII,Livre de l'Etat du grand Khan"
Confessio Amantis,John Gower,1433/1435-1472,Female,"Jacquetta of Luxembourg, duchess of Bedford",Cambridge Pembroke College MS 307,Confessio Amantis
Confessio Amantis,John Gower,c. 1400-1433,Male,John Duke of Bedford,Cambridge Pembroke College MS 307,Confessio Amantis
Bible de saint Louis,Anonymous,September 1414-June 1416,Male,John Duke of Berry,BnF lat. 10426,Bible moralisée
Bible de saint Louis,Anonymous,12??-1270,Male,Louis IX of France,BnF lat. 10426,Bible moralisée
Bible de saint Louis,Anonymous,June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",BnF lat. 10426,Bible moralisée
Bible de saint Louis,Anonymous,?-September 1414,Male,Robert Mauger,BnF lat. 10426,Bible moralisée
Psautier de Jean de Berry,,1402?-June 1416,Male,John Duke of Berry,BnF fr. 13091,Psautier
Psautier de Jean de Berry,,June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",BnF fr. 13091,Psautier
Rational des divins offices,Guillaume Durand de Mende,1434-1456?,Male,Charles I of Bourbon,BnF fr. 176,Rational des divins offices
Rational des divins offices,Guillaume Durand de Mende,?-June 1416,Male,John Duke of Berry,BnF fr. 176,Rational des divins offices
Rational des divins offices,Guillaume Durand de Mende,June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",BnF fr. 176,Rational des divins offices
Bible moralisee,Anonymous,?-June 1416,Male,John Duke of Berry,NE 1,Bible moralisée
Bible moralisee,Anonymous,June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",NE 1,Bible moralisée
Cité de Dieu,St. Augustine,?-June 1416,Male,John Duke of Berry,NE 2,Cité de Dieu
Cité de Dieu,St. Augustine,June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",NE 2,Cité de Dieu
Cité de Dieu (in 2 volumes),St. Augustine,?-1403,Male,Jacques Courau,NE 3,Cité de Dieu
Cité de Dieu (in 2 volumes),St. Augustine,1403-June 1416,Male,John Duke of Berry,NE 3,Cité de Dieu
Cité de Dieu (in 2 volumes),St. Augustine,June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",NE 3,Cité de Dieu
Politique; Economique,"Aristotle,Aristotle",1401?-June 1416,Male,John Duke of Berry,BnF fr. 9106,"Economique,Politique"
Politique; Economique,"Aristotle,Aristotle",1397?-1401?,Male,Louis Duke of Orléans,BnF fr. 9106,"Economique,Politique"
Politique; Economique,"Aristotle,Aristotle",June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",BnF fr. 9106,"Economique,Politique"
Du Ciel et du monde,Aristotle,1434?-1456,Male,Charles I of Bourbon,BnF fr. 1082,Du Ciel et du monde
Du Ciel et du monde,Aristotle,1377-1380,Male,Charles V of France,BnF fr. 1082,Du Ciel et du monde
Du Ciel et du monde,Aristotle,c. 1401-June 1416,Male,John Duke of Berry,BnF fr. 1082,Du Ciel et du monde
Du Ciel et du monde,Aristotle,7 October 1380-1401?,Male,Louis Duke of Orléans,BnF fr. 1082,Du Ciel et du monde
Du Ciel et du monde,Aristotle,June 1416-1434?,Female,"Marie of Berry, duchess of Bourbon",BnF fr. 1082,Du Ciel et du monde
Pèlerinage de Vie humaine; Pèlerinage de l'âme,"Guillaume de Digulleville,Guillaume de Digulleville",1404?-June 1416,Male,John Duke of Berry,BnF fr. 829,"Pèlerinage de vie humaine, 2nd redaction,Pèlerinage de l'Ame"
